,Adj Close,log_returns,5d_return,omega,alpha[1],beta[1],h.1,h.2,h.3,h.4,h.5,5d_volaility,Quantiles
2019-03-13,11341.700195,0.3577284048612617,4.567691141744584,0.017423316164341278,0.05302213680653246,0.9221006547077036,0.5568758824728511,0.5604456812082216,0.5639266733162001,0.5673210680577709,0.5706310197336728,2.8192003247887163,4
2019-03-14,11343.25,0.01366372849919998,4.846113179692273,0.01740062727981864,0.05316015145471804,0.9219189209078461,0.5303680768287284,0.5345514396446923,0.5386305491786384,0.5426080035190639,0.5464863360076904,2.692644405178813,4
2019-03-15,11426.849609,0.7342961697116643,5.711436660833397,0.017316812807635265,0.05285998728652434,0.9224538666461191,0.531134909193864,0.5353400480516673,0.5394413782373935,0.5434414623870842,0.5473427998751741,2.696700597745183,4
2019-03-18,11462.200195,0.3088866895712668,5.36461357583833,0.018107528482347368,0.05449131426167026,0.9200317704706081,0.5126442076347237,0.517691143076673,0.522609498172006,0.5274025487513186,0.5320734871871483,2.6124208848218697,4
2019-03-19,11532.400391,0.6105817218420213,4.840676904721122,0.018052786569607897,0.054355477608693185,0.9201441034526433,0.5051771209701792,0.5103476793168196,0.5153863862594739,0.5202966040641813,0.5250816092577887,2.576289399868443,4
2019-03-20,11521.049805,-0.0984719147953198,4.1473895693190785,0.0180258682863015,0.054448785792368844,0.9200605272261758,0.4836586093465017,0.4893556874160655,0.4949075430518492,0.5003178780734548,0.50559029993856,2.4738300178264314,4
2019-03-22,11456.900391,-0.5583577309089397,3.5419950873517076,0.017883724523567675,0.05417439759363124,0.9204458084265863,0.4839295454889677,0.48953123784729563,0.49499076040763107,0.5003117214101571,0.5054976375186647,2.4742609026727163,4
2019-03-25,11354.25,-0.9000079534958454,2.8483800393925303,0.01790085238277989,0.05389930316039577,0.9207087509742371,0.5144118010259944,0.5192507368046162,0.5239668025879013,0.5285631182841197,0.5330427245809995,2.6192351832836316,3
2019-03-26,11483.25,1.1297328693216404,2.7832446244342783,0.017894756525947998,0.05372625273002638,0.9208623558839858,0.5523701165631323,0.5562283798671709,0.5599885993323203,0.5636532663889435,0.5672248091566916,2.799465171308259,3
2019-03-27,11445.049805,-0.33321467941584304,1.2648373051911097,0.01762942871566249,0.05344797677783871,0.921414784244716,0.5339620233902604,0.5381691211190818,0.5422704640268923,0.5462687104979006,0.5501664520918765,2.7108367711260115,3
2019-03-28,11570.0,1.0858236128566492,1.9929325131864972,0.017622641053917563,0.053459317264829956,0.921380437395108,0.564834575592674,0.5682458401481301,0.571571276450451,0.5748130439595428,0.5779732478027705,2.8574379839535684,3
2019-04-01,11669.150391,0.8533099614861428,2.83257874617344,0.01770965266978505,0.05364035686591274,0.9210976013065347,0.5710902873926458,0.5743730333350088,0.5775728504120666,0.5806918335762833,0.5837320248573461,2.887460029573351,3
2019-04-02,11713.200195,0.3767786814220471,2.475061257883823,0.017417507498616078,0.05337454981290545,0.9216602754911238,0.5473668696380284,0.5511192676133445,0.554777986317678,0.5583453644703944,0.5618236824043217,2.7734331704437674,3
2019-04-03,11643.950195,-0.5929679070640618,1.5732066612484945,0.0172528076726855,0.05324199892775371,0.9219446678365534,0.5444093086649976,0.5481535067451653,0.5518047987906693,0.5553654901099074,0.558837828808892,2.758570933119632,3
2019-04-04,11598.0,-0.39540791097775185,0.5672170284287211,0.017848652119147042,0.054077574098894146,0.9204503915433017,0.5328925549133545,0.5371673495647306,0.5413332564998742,0.5453930493104344,0.5493494309390384,2.7061356412274318,3
2019-04-05,11665.950195,0.5841689624126899,1.249857905636731,0.017528583157732848,0.053734945197507725,0.9211412215892409,0.5215932554909745,0.5260174166925953,0.530330426006078,0.5345350759929216,0.5386340890547756,2.6511102632373453,3
2019-04-08,11604.5,-0.5281405157363545,1.280075120809316,0.017240067331798132,0.05337950946943866,0.9218159525921024,0.5160305810843082,0.5204707482901956,0.5248007792001714,0.5290234056941661,0.5331412918890904,2.6234668061579316,3
