,Adj Close,log_returns,5d_return,omega,alpha[1],beta[1],h.1,h.2,h.3,h.4,h.5,5d_volaility,Quantiles
2021-02-18,15118.950195,-0.5931871729716066,1.4879686525943896,0.027596462780536898,0.08588337120265822,0.8808040498517646,1.0742137460074135,1.0660253785696543,1.058109786768601,1.050457883744321,1.0430608853436214,5.2918676804336116,3
2021-02-19,14981.75,-0.9116143097515098,0.38453869360235804,0.027549206742200513,0.08611220975800235,0.880981552959814,1.0614863999290607,1.0541060833233846,1.0469686251671524,1.0400660339026009,1.0333905809440627,5.2360177232662615,3
2021-02-22,14675.700195,-2.063971566159967,-2.954746345163586,0.026785413449714638,0.08547442063857402,0.8830676206911188,1.3674851538840604,1.3512522758806318,1.335530051082535,1.320302415382342,1.3055538100166522,6.680123706246221,2
2021-02-23,14707.799805,0.21848740122465457,-2.6932483323341776,0.02700163654163615,0.08514556387920338,0.8828871708936017,1.2317760394598407,1.2194011646475604,1.2074218807405577,1.195825541779442,1.1845999060615606,6.039024532688961,2
2021-02-24,14982.0,1.847152847927305,-0.8275634248480801,0.026501680934248515,0.08517063775328146,0.88373846357591,1.3889463861828824,1.372264475765133,1.3561012209338175,1.3404404962206529,1.3252666775126567,6.783019256615143,3
2021-02-25,15097.349609,0.766972530651488,-0.5018085627269141,0.026631488015370776,0.08509754861366028,0.8833496747933713,1.2902165346505063,1.2761381085914958,1.262503895964706,1.24929988060295,1.2365124885880339,6.314670908397693,3
2021-02-26,14529.150391,-3.836220270565476,-4.27210186395005,0.026111678166157167,0.08613227011539963,0.8839783534550854,2.4974404420571465,2.4489051827403636,2.401820612059404,2.3561433698355496,2.311831391898786,12.01614099859125,2
2021-03-01,14761.549805,1.5868810872378962,-3.678735018822308,0.026092697597528774,0.08629976118036876,0.8840159706453256,2.4360420009635897,2.3898225745206427,2.3449751379270913,2.3014589646683126,2.259234537166467,11.731533215246102,2
2021-03-02,14919.099609,1.0616431033423475,-2.60892948983703,0.02613284641721862,0.08584070172798479,0.8843870485275257,2.2586399958830583,2.2175280482599535,2.1776400958089663,2.1389396974401462,2.101391496996774,10.894139334388898,2
2021-03-03,15245.599609,2.1648666152931164,0.24101026622825072,0.0261696586735854,0.08727213267825867,0.8831125100269129,2.415960372372875,2.370580501408491,2.3265445715367106,2.2838127814618927,2.242346508617988,11.639244735397957,3
2021-03-04,15080.75,-1.087181509419586,-0.2529840702197287,0.026308122376235483,0.08731550047738759,0.882694565768999,2.2733541684379275,2.2314845499042084,2.1908705984566046,2.151474656722387,2.11326019667094,10.960444170192066,3
2021-03-05,14938.099609,-0.9504126016711029,-0.29178236213932174,0.026539554376029853,0.08750446317922102,0.8820258026565415,2.120170921996576,2.082109431996624,2.045207665478865,2.009430285977093,1.9747430337178333,10.23166133916699,3
